date,home_team,away_team,home_score,away_score,tournament
1902-07-20,Uruguay,Argentina,0,6,Friendly
1903-09-13,Argentina,Uruguay,2,3,Friendly
1904-05-01,Belgium,France,3,3,Évence Coppée Trophy
1905-04-30,Belgium,Netherlands,1,4,Friendly
1905-05-07,Belgium,France,7,0,Friendly
1905-05-14,Netherlands,Belgium,4,0,Friendly
1905-08-15,Argentina,Uruguay,0,0,Copa Lipton
1906-04-22,France,Belgium,0,5,Friendly
1906-04-29,Belgium,Netherlands,5,0,Friendly
1906-05-13,Netherlands,Belgium,2,3,Friendly
1906-08-15,Uruguay,Argentina,0,2,Copa Lipton
1906-10-21,Argentina,Uruguay,2,1,Copa Newton
1907-04-14,Belgium,Netherlands,1,3,Friendly
1907-04-21,Belgium,France,1,2,Friendly
1907-05-09,Netherlands,Belgium,1,2,Friendly
1908-03-29,Belgium,Netherlands,1,4,Friendly
1908-04-12,France,Belgium,1,2,Friendly
1908-04-26,Netherlands,Belgium,3,1,Friendly
1908-05-10,Netherlands,France,4,1,Friendly
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton
1908-09-13,Argentina,Uruguay,2,1,Copa Newton
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino
1909-03-21,Belgium,Netherlands,1,4,Friendly
1909-04-25,Netherlands,Belgium,4,1,Friendly
1909-05-09,Belgium,France,5,2,Friendly
1909-08-15,Argentina,Uruguay,2,1,Copa Lipton
1909-09-19,Uruguay,Argentina,2,2,Copa Newton
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino
1910-03-13,Belgium,Netherlands,3,2,Friendly
1910-04-03,France,Belgium,0,4,Friendly
1910-04-10,Netherlands,Belgium,7,0,Friendly
1910-04-24,Netherlands,Germany,4,2,Friendly
1910-05-15,Italy,France,6,2,Friendly
1910-05-16,Germany,Belgium,0,3,Friendly
1910-06-12,Argentina,Uruguay,4,1,Friendly
1910-08-15,Uruguay,Argentina,3,1,Copa Lipton
1910-10-16,Germany,Netherlands,1,2,Friendly
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino
1911-03-19,Belgium,Netherlands,1,5,Friendly
1911-04-02,Netherlands,Belgium,3,1,Friendly
1911-04-09,France,Italy,2,2,Friendly
1911-04-23,Belgium,Germany,2,1,Friendly
1911-04-30,Belgium,France,7,1,Friendly
1911-08-15,Argentina,Uruguay,0,2,Copa Lipton
1911-09-17,Uruguay,Argentina,2,3,Copa Newton
1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo
1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino
1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo
1912-01-28,France,Belgium,1,1,Friendly
1912-03-10,Belgium,Netherlands,1,2,Friendly
1912-03-17,Italy,France,3,4,Friendly
1912-03-24,Netherlands,Germany,5,5,Friendly
1912-04-28,Netherlands,Belgium,4,3,Friendly
1912-08-15,Uruguay,Argentina,2,0,Copa Lipton
1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo
1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino
1912-10-06,Argentina,Uruguay,3,3,Copa Newton
1912-11-17,Germany,Netherlands,2,3,Friendly
1912-12-01,Uruguay,Argentina,1,3,Friendly
1913-01-12,France,Italy,1,0,Friendly
1913-02-16,Belgium,France,3,0,Friendly
1913-03-09,Belgium,Netherlands,3,3,Friendly
1913-04-20,Netherlands,Belgium,2,4,Friendly
1913-05-01,Italy,Belgium,1,0,Friendly
1913-06-15,Argentina,Uruguay,1,1,Friendly
1913-07-09,Argentina,Uruguay,2,1,Friendly
1913-08-15,Argentina,Uruguay,4,0,Copa Lipton
1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino
1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo
1913-10-26,Uruguay,Argentina,1,0,Copa Newton
1913-11-23,Belgium,Germany,6,2,Friendly
1914-01-25,France,Belgium,4,3,Friendly
1914-03-15,Belgium,Netherlands,2,4,Friendly
1914-03-29,Italy,France,2,0,Friendly
1914-04-05,Netherlands,Germany,4,4,Friendly
1914-04-26,Netherlands,Belgium,4,2,Friendly
1914-08-30,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo
1914-09-13,Argentina,Uruguay,2,1,Copa Premio Honor Argentino
1914-09-20,Argentina,Brazil,3,0,Friendly
1914-09-27,Argentina,Brazil,0,1,Copa Roca
1915-07-18,Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo
1915-08-15,Argentina,Uruguay,2,1,Copa Lipton
1915-09-12,Uruguay,Argentina,2,0,Copa Newton
1916-07-10,Argentina,Brazil,1,1,Copa América
1916-07-12,Brazil,Uruguay,1,2,Copa América
1916-07-17,Argentina,Uruguay,0,0,Copa América
1916-07-18,Uruguay,Brazil,0,1,Friendly
1916-08-15,Argentina,Uruguay,3,1,Copa Newton
1916-08-15,Uruguay,Argentina,1,2,Copa Lipton
1916-10-01,Argentina,Uruguay,7,2,Friendly
1916-10-01,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo
1916-10-29,Uruguay,Argentina,3,1,Friendly
1917-07-18,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo
1917-08-15,Argentina,Uruguay,1,0,Copa Lipton
1917-09-02,Uruguay,Argentina,1,0,Copa Newton
1917-10-03,Argentina,Brazil,4,2,Copa América
1917-10-07,Uruguay,Brazil,4,0,Copa América
1917-10-14,Uruguay,Argentina,1,0,Copa América
1917-10-16,Uruguay,Brazil,3,1,Friendly
1918-07-18,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo
1918-07-28,Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo
1918-08-15,Argentina,Uruguay,0,0,Copa Premio Honor Argentino
1918-08-25,Argentina,Uruguay,2,1,Copa Premio Honor Argentino
1918-09-20,Uruguay,Argentina,1,1,Copa Lipton
1918-09-29,Argentina,Uruguay,2,0,Copa Newton
1919-03-09,Belgium,France,2,2,Friendly
1919-05-13,Argentina,Uruguay,2,3,Copa América
1919-05-18,Brazil,Argentina,3,1,Copa América
1919-05-26,Brazil,Uruguay,2,2,Copa América
1919-05-29,Brazil,Uruguay,1,0,Copa América
1919-06-01,Brazil,Argentina,3,3,Friendly
1919-06-28,France,Italy,2,0,Inter-Allied Games
1919-06-28,Belgium,United States,7,0,Inter-Allied Games
1919-07-18,Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo
1919-08-24,Uruguay,Argentina,2,1,Copa Newton
1919-09-07,Argentina,Uruguay,1,2,Copa Lipton
1919-10-19,Argentina,Uruguay,6,1,Copa Premio Honor Argentino
1919-12-07,Uruguay,Argentina,4,2,Friendly
1920-01-18,Italy,France,9,4,Friendly
1920-03-28,France,Belgium,2,1,Friendly
1920-05-13,Italy,Netherlands,1,1,Friendly
1920-07-18,Uruguay,Argentina,2,0,Copa Premio Honor Uruguayo
1920-07-25,Argentina,Uruguay,1,3,Copa Newton
1920-08-08,Argentina,Uruguay,1,0,Copa Premio Honor Argentino
1920-08-29,France,Italy,3,1,Olympic Games
1920-08-29,Belgium,Spain,3,1,Olympic Games
1920-08-31,Belgium,Netherlands,3,0,Olympic Games
1920-09-02,Spain,Italy,2,0,Olympic Games
1920-09-05,Spain,Netherlands,3,1,Olympic Games
1920-09-12,Uruguay,Argentina,1,1,Copa América
1920-09-18,Brazil,Uruguay,0,6,Copa América
1920-09-25,Argentina,Brazil,2,0,Copa América
1921-02-20,France,Italy,1,2,Friendly
1921-03-06,Belgium,France,3,1,Friendly
1921-05-05,Belgium,Italy,2,3,Friendly
1921-05-08,Netherlands,Italy,2,2,Friendly
1921-05-15,Belgium,Netherlands,1,1,Friendly
1921-05-21,Belgium,England,0,2,Friendly
1921-10-02,Argentina,Brazil,1,0,Copa América
1921-10-23,Brazil,Uruguay,1,2,Copa América
1921-10-30,Argentina,Uruguay,1,0,Copa América
1921-11-13,France,Netherlands,0,5,Friendly
1921-12-18,Spain,Portugal,3,1,Friendly
1922-01-15,France,Belgium,2,1,Friendly
1922-03-26,Belgium,Netherlands,4,0,Friendly
1922-04-30,France,Spain,0,4,Friendly
1922-05-07,Netherlands,Belgium,1,2,Friendly
1922-05-21,Italy,Belgium,4,2,Friendly
1922-10-01,Brazil,Uruguay,0,0,Copa América
1922-10-08,Argentina,Uruguay,0,1,Copa América
1922-10-15,Brazil,Argentina,2,0,Copa América
1922-10-22,Brazil,Argentina,2,1,Copa Roca
1922-11-12,Uruguay,Argentina,1,0,Copa Lipton
1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo
1922-12-17,Argentina,Uruguay,2,2,Copa Newton
1922-12-17,Portugal,Spain,1,2,Friendly
1923-01-01,Italy,Germany,3,1,Friendly
1923-01-28,Spain,France,3,0,Friendly
1923-02-04,Belgium,Spain,1,0,Friendly
1923-02-25,Belgium,France,4,1,Friendly
1923-03-19,England,Belgium,6,1,Friendly
1923-04-02,Netherlands,France,8,1,Friendly
1923-04-29,Netherlands,Belgium,1,1,Friendly
1923-05-10,France,England,1,4,Friendly
1923-05-10,Germany,Netherlands,0,0,Friendly
1923-06-24,Argentina,Uruguay,0,0,Copa Lipton
1923-07-15,Argentina,Uruguay,2,2,Friendly
1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo
1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo
1923-11-01,Belgium,England,2,2,Friendly
1923-11-18,Argentina,Brazil,2,1,Copa América
1923-11-25,Uruguay,Brazil,2,1,Copa América
1923-12-02,Argentina,Brazil,0,2,Friendly
1923-12-02,Uruguay,Argentina,2,0,Copa América
1923-12-09,Argentina,Brazil,2,0,Copa Roca
1923-12-16,Spain,Portugal,3,0,Friendly
1924-01-13,France,Belgium,2,0,Friendly
1924-03-09,Italy,Spain,0,0,Friendly
